id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
30,Automatic test case generation using natural language processing: A systematic mapping study,"Navarro, Jordy; Ibarra, Ronald",2025,Information and Software Technology,"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,"IC5: systematic mapping study — không có thực nghiệm gốc, chỉ tổng hợp"
31,Requirement-based automated test case generation: Systematic literature review,"Farooq, M. S.; Tahreem, Tayyaba",2022,VFAST Transactions on Software Engineering,"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,IC5: SLR review — không có thực nghiệm gốc
32,Automated test case generation from requirements: A systematic literature review,"Mustafa, Ahmad; Wan-Kadir, Wan MN; Ibrahim, Noraini; Shah, Muhammad Arif; Younas, Muhammad; Khan, Atif; Zareei, Mahdi; Alanazi, Faisal",2021,"Computers, Materials and Continua","(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,IC5: SLR review — không có thực nghiệm gốc
33,A Review of Large Language Models for Automated Test Case Generation,"Celik, Arda; Mahmoud, Qusay H.",2025,Machine Learning and Knowledge Extraction,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"IC3: IRE Journals — tạp chí không rõ peer-review, có thể predatory",,
34,Generative AI in software engineering: Revolutionizing test case generation and validation techniques,"Thakur, DHEERENDER; Mehra, ADITYA; Choudhary, ROHIT; Sarker, MITHUN",2023,IRE Journals,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"IC3: IRE Journals — tạp chí không rõ peer-review, có thể predatory",,
35,Automated Test Case Generation for Software Testing Using Generative AI,"Bandi, Ajay; Nukala, Harsha Sai Teja; Tatavarthi, Bhavya; Boggavarapu, Amulya",2025,Computers and Their Applications,"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,IC3: Computers and Their Applications — không verify được peer-review
36,Knowledge Graph based Automated Generation of Test Cases in Software Engineering,"Nayak, Anmol; Kesri, Vaibhav; Dubey, Rahul Kumar",2020,Proceedings of the 7th ACM IKDD CoDS and 25th COMAD,"(""test case generation"") AND (""software engineering"")",UNSURE,UNSURE: cần xác minh thêm,EXCLUDE,"Đọc full-text: Knowledge Graph approach, không dùng LLM/Gherkin/BDD — không đủ IC4"
37,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,IC5: SLR — không có thực nghiệm gốc
38,Study on Automatic Software Test Case Generation,"Mulla, Nilofar; Jayakumar, Naveenkumar; Joshi, Shashank; Godse, Deepali",2025,"Proceedings of the 5th International Conference on Data Science, Machine Learning and Applications; Volume 1","(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,"IC3: DSMLAI conference nhỏ, không thuộc danh sách uy tín"
39,Test case generation using large language models: a systematic literature review,"Tasarsu, Murat; Tokmak, Ahmet Vedat; Catal, Cagatay",2026,Cluster Computing,"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,IC5: SLR — không có thực nghiệm gốc
40,The Future of Software Testing: AI–Powered Test Case Generation and Validation,"Baqar, Mohammad; Khanda, Rajat",2025,Intelligent Computing,"(""test case generation"") AND (""software engineering"")",UNSURE,IC5: không có kết quả thực nghiệm,EXCLUDE,IC5: review/future paper — không có thực nghiệm gốc
41,An Ontology-Based Approach to Automated Test Case Generation,"Banerjee, Shreya; Debnath, Narayan C.; Sarkar, Anirban",2021,SN Computer Science,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
42,Automated Test Case Generation Using Natural Language Processing,"Arya Devi, M. R.; Abdul Jabbar, P.",2026,ICT for Intelligent Systems,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
43,Test-Case Generation with Automata-Based Software Model Checking,"Barth, Max; Jakobs, Marie-Christine",2025,Model Checking Software,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
44,More effective test case generation with multiple tribes of AI,"Olsthoorn, Mitchell",2022,Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
45,Automated Unit Test Case Generation: A Systematic Literature Review,"Wang, Jason; Suleiman, Basem; Alibasa, Muhammad Johan",2025,N/A,"(""test case generation"") AND (""software engineering"")",UNSURE,UNSURE: cần xác minh thêm,EXCLUDE,"IC5: SLR, venue không rõ — không có thực nghiệm gốc"
46,Requirements-Based Test Generation: A Comprehensive Survey,"Yang, Zhenzhen; Huang, Rubing; Cui, Chenhui; Niu, Nan; Towey, Dave",2025,ACM Transactions on Software Engineering and Methodology,"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,IC5: comprehensive survey — không có thực nghiệm gốc
47,Automated Test Case Generation from Natural Language Requirements Using Large Language Models,"Karmouda, Ouafae; Ghaouat, Maroua; Feuilloley, Guillaume",2026,"Proceedings of the Future Technologies Conference (FTC) 2025, Volume 3","(""test case generation"") AND (""software engineering"")",INCLUDE,,INCLUDE,"Đọc full-text: FTC 2025, LLM test generation từ NL requirements, có thực nghiệm — đủ IC3+IC5"
48,AI-Based Automotive Test Case Generation: An Action Research Study on Integration of Generative AI into Test Automation Frameworks,"Karlsson, Albin; Lindmaa, Erik; Sun, Simin; Staron, Miroslaw",2025,"Product-Focused Software Process Improvement. Industry-, Workshop-, and Doctoral Symposium Papers","(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,"Đọc full-text: PROFES 2025, action research GenAI test generation automotive — đủ IC3+IC5"
49,Evaluating the Complex Reasoning and Performance Capabilities of Large Language Models for Test Case Generation: A Learning-Based Software Testing Suite for Benchmarking Generative AI in Automated Test Case Generation,"Bala Mahalingam, Vijay; Parthasarathy, Harish; Baskaran, Aakash; Chandrasekaran, Bharath; Rajeshkumar, Muthukrishnan",2026,Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
50,Advances in Automatic Software Testing: Test-Comp 2025,"Beyer, Dirk",2025,Fundamental Approaches to Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
51,LLM-Driven Smart Test Case Generation for Scalable Software Testing,"Kanagaraj, Kanaganandini; Handa, Devansh; Nikhil, Kindi Krishna; Duvarakanath, S.",2025,"2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)","(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,"EC2: không tìm được PDF full-text — trả phí, không access được"
52,Automated Test Generation Techniques for C++ Software,"Hulevych, Mykhailo; Kolomiitsev, Oleksii",2025,"Системи управління, навігації та зв’язку. Збірник наукових праць","(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
53,Ultimate TestGen: Test-Case Generation with Automata-based Software Model Checking (Competition Contribution),"Barth, Max; Dietsch, Daniel; Heizmann, Matthias; Jakobs, Marie-Christine",2024,Fundamental Approaches to Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
54,An in-depth study on the utilization of large language models for test case generation,"Johnsson, Nicole",2024,Umeå University,"(""test case generation"") AND (""software engineering"")",UNSURE,UNSURE: cần xác minh thêm,EXCLUDE,IC3: luận văn thạc sĩ DiVA — không phải peer-reviewed conference/journal
55,New approaches to automated software testing based on artificial intelligence,"Zhang, Yuli",2024,2024 5th International Conference on Artificial Intelligence and Computer Engineering (ICAICE),"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
56,"AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tools, and Challenges","Faraji, Aazaade; Pombo, Nuno",2025,IEEE Access,"(""test case generation"") AND (""software engineering"")",UNSURE,IC5: không có kết quả thực nghiệm,EXCLUDE,IC5: AI4SE survey — không có thực nghiệm gốc của chính paper
57,Can Generative AI Produce Test Cases? An Experience from the Automotive Domain,"Wynn-Williams, Stephen; Tyrrell, Ryan; Pantelic, Vera; Lawford, Mark; Menghi, Claudio; Nalla, Phaneendra; Artail, Hassan",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
58,Test case generation algorithms and tools for specifications in natural language,"Aoyama, Yusuke; Kuroiwa, Takeru; Kushiro, Noriyuki",2020,2020 IEEE International Conference on Consumer Electronics (ICCE),"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
59,ARTE: Automated generation of realistic test inputs for web APIs,"Alonso, Juan C.; Martin-Lopez, Alberto; Segura, Sergio; Garcia, Jose Maria; Ruiz-Cortes, Antonio",2022,IEEE Transactions on Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,IC3: International Journal of Leading Research Publication — predatory/không rõ peer-review,,
60,AI-Powered Natural Language Processing for Automated Test Case Generation: A Transformer-Based Method for Web Application Testing,"Kavuri, Srikanth",2023,International Journal of Leading Research Publication,"(""test case generation"") AND (""software engineering"")",EXCLUDE,IC3: International Journal of Leading Research Publication — không rõ peer-review,,
61,AutoTestGen: Intelligent automated test case generation using GPT-3.5 Turbo,"Riyaz, S.; Ali, M. Imdad; Yeshwanth, S. Venkata; Kumar, S. Satish; Abhinay, S.; Royal, R. Harish; Sulaymon, Abduraxmonov Muhammad",2025,Sustainable Electrical Engineering and Intelligent Systems,"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,IC3: Sustainable Electrical Engineering — không verify được peer-review chuyên ngành SE
62,Testbench: Evaluating class-level test case generation capability of large language models,"Zhang, Quanjun; Shang, Ye; Fang, Chunrong; Gu, Siqi; Zhou, Jianyi; Chen, Zhenyu",2024,arXiv preprint arXiv:2409.17561,"(""test case generation"") AND (""software engineering"")",INCLUDE,,INCLUDE,"Đọc full-text: arXiv 2024 với thực nghiệm LLM test generation đầy đủ, được cite — đủ IC3+IC5"
63,Ai-powered multi-agent framework for automated unit test case generation: Enhancing software quality through llm’s,"Garlapati, Anusha; Parmesh, MNV Satya Sai Muni",2024,2024 5th IEEE Global Conference for Advancement in Technology (GCAT),"(""test case generation"") AND (""software engineering"")",INCLUDE,,EXCLUDE,"EC2: không tìm được PDF full-text — trả phí, không access được"
64,Application and Optimization of Retrieval-Augmented Generation in Automotive Software Test Case Generation,"Xia, Min; Tong, Guang",2025,2025 10th International Conference on Electronic Technology and Information Science (ICETIS),"(""test case generation"") AND (""software engineering"")",EXCLUDE,IC3: venue là proceedings conference nhỏ ở aerospace — khó verify peer-review,,
65,Research on the application of artificial intelligence in software automation test case generation in aerospace field,"Li, Wenquan; Shao, Fangsong; Fang, Yu",2025,Proceedings of the 9th International Conference on Electronic Information Technology and Computer Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
66,Optimized automated testing: test case generation and maintenance using latent semantic analysis-based TextRank and particle swarm optimization algorithms.,"Swathi, Baswaraju; Kolisetty, Soma Sekhar",2024,International Journal of Electrical & Computer Engineering (2088-8708),"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: không liên quan test generation,,
67,A systematic approach for assessing large language models’ test case generation capability,"Chang, Hung-Fu; Shokrolah Shirazi, Mohammad",2025,Software,"(""test case generation"") AND (""software engineering"")",INCLUDE,,INCLUDE,"Đọc full-text: Software journal 2025, systematic assessment LLM test generation — đủ IC3+IC5"
68,Unit test case generation with transformers and focal context,"Tufano, Michele; Drain, Dawn; Svyatkovskiy, Alexey; Deng, Shao Kun; Sundaresan, Neel",2020,arXiv preprint arXiv:2009.05617,"(""test case generation"") AND (""software engineering"")",INCLUDE,,INCLUDE,"Đọc full-text: arXiv 2020, transformer unit test generation, được cite rộng rãi — đủ IC3+IC5"
69,Organizing Graphical User Interface tests from behavior‐driven development as videos to obtain stakeholders' feedback,"Shi, Jianwei; Mönnich, Jonas; Klünder, Jil; Schneider, Kurt",2024,Journal of Software: Evolution and Process,"(""automated testing"") AND (""generative AI"")",INCLUDE,,EXCLUDE,EC4: BDD GUI test organization/video — không phải test generation bằng LLM
70,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Marczak, Sabrina",2024,XXIII Brazilian Symposium on Software Quality - SBQS 2024,"(""automated testing"") AND (""generative AI"")",UNSURE,IC5: không có kết quả thực nghiệm,INCLUDE,"Đọc full-text: SBQS 2024, LLM BDD test generation, có thực nghiệm — đủ IC3+IC5"
71,Automating Behavior-Driven Development with Large Language Models: Exploring Test Case Generation for Fintech projects,"Tesfalidet, Noel",2025,School of Electrical Engineering and Computer Science,"(""automated testing"") AND (""generative AI"")",UNSURE,IC5: không có kết quả thực nghiệm,EXCLUDE,"IC3: thesis school, không phải peer-reviewed conference/journal — không đủ IC3"
72,Development and Evaluation of a Behaviour-Driven Development Testing Concept,"Tögel, Tobias",2023,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
73,A behaviour-driven development approach for cyber-physical production systems,"Kannengiesser, Udo; Krenn, Florian; Stary, Christian",2020,2020 IEEE conference on industrial cyberphysical systems (ICPS),"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
74,Guidelines for Adopting Behavior-Driven Development (BDD): A Case Study,"dos Santos, Shexmo Richarlison Ribeiro; Silva, Marcus Vinicius Santana; dos Santos, Marcos Cesar Barbosa; dos Santos, Luiz Felipe Cirqueira; Mendonça, Mariano Florencio; Santos, Marcos Venicius; da Silva Santos, Marckson Fábio; de Souza Bastos, Alberto Luciano; Rocha, Fabio Gomes",2025,(21st International Conference on Web Information Systems and Technologies - WEBIST 2025,"(""automated testing"") AND (""generative AI"")",EXCLUDE,IC5: không có kết quả thực nghiệm,,
75,Perception of Professionals Regarding the Adoption of Behavior-Driven Development (Bdd): A Descriptive and Statistical Study Through a Survey,"SANTOS, SHEXMO; Rocha, Fabio; dos Santos Soares, Michel",2025,Available at SSRN 4896966,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
76,Overview of Behaviour-Driven Development tools for web applications,"Österholm, Viktor",2021,Åbo Akademi University,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"IC5: Anais do Computer on the Beach — parallel testing, không có số liệu test generation",,
77,Parallel Testing in Behavior Driven Development,"de Amorim, Felipe; Silva, Rodolfo Adamshuk; Costa, Lincoln; Souza, Francisco Carlos",2021,Anais do Computer on the Beach,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"IC5: thesis, real world BDD practice study, không có thực nghiệm test generation",,
78,On the real world practice of behaviour driven development,"Islam, Gibrail",2024,University of Glasgow,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
79,"An Automated Test System for Functional Testing of a Web Application Using BDD: Implementation Using SpecFlow, Selenium WebDriver, and NUnit in a Real-World Web Application Context","Bismellah, Imal",2025,Karlstad University,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
80,Power of Automation Testing,"Santhosh, Aman Simon; Shah, Karan Rahul",2023,International Journal of Scientific Research in Engineering and Management (IJSREM),"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
81,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"Matveeva, Lada Ivanna; Kunštár, Vladimír; Jelemenská, Katarína; Čičák, Pavel",2025,"2025 5th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)","(""automated testing"") AND (""generative AI"")",UNSURE,IC5: không có kết quả thực nghiệm,EXCLUDE,"IC3: ICECCME — conference EE/Mechatronics, không phải SE venue"
82,Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,"Bahaweres, Rizal Broer; Oktaviani, Elda; Wardhani, Luh Kesuma; Hermadi, Irman; Suroso, ArifImam; Solihin, Indra Permana; Arkeman, Yandra",2020,"2020 International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)","(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
83,[en] BDD4ML: A FRAMEWORK FOR APPLYING BEHAVIOUR-DRIVEN DEVELOPMENT TO TEST THE PERFORMANCE OF SUPERVISED MACHINE LEARNING MODELS,"MOTTA, EDUARDO GONCALVES",2025,2025 IEEE International Symposium on Systems Engineering (ISSE),"(""automated testing"") AND (""generative AI"")",INCLUDE,IC5: không có kết quả thực nghiệm,EXCLUDE,EC4: BDD4ML testing ML models performance — không phải sinh test case từ requirements
84,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"Hoffmann, David; Ammana, Someshwar Reddy; Dsouza, Ashley Jason; Gudder, Ranjitkumar; Lüder, Arndt",2025,2025 IEEE International Symposium on Systems Engineering (ISSE),"(""automated testing"") AND (""generative AI"")",INCLUDE,IC5: không có kết quả thực nghiệm,EXCLUDE,EC4: Gherkin-based requirement verification MBSE — không phải LLM test generation
85,Pattern-Based Automation of User Stories and Gherkin Scenarios from BPMN Models for Agile Requirement,"Mateus, Daniel; da Silveira, Denis Silva; Araujo, João",2025,Applied Sciences,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
86,Extra Difficulties of Automated Testing in Low-Code Development,"Israt, Fahmida; Prechelt, Lutz",2025,"Softwaretechnik-Trends Band 45, Heft 3","(""automated testing"") AND (""generative AI"")",EXCLUDE,IC1: không viết bằng tiếng Anh,,
87,Automatização de Testes de Software,"Batista, Inês Chaves",2025,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,IC1: không viết bằng tiếng Anh,,
88,Empirical analysis of gherkin quality and common mistakes by novice testers: Implications for sustainable software testing,"Wicaksono, Luthfi Satrio; Min, Joe Lian; Maspupah, Asri; Agasta, Rio; Raharjo, Jelang Anugrah; Hapid, Reqi Jumantara; Genadratama, Muhammad Rafif; Sinaga, Yahya Alfon",2025,E3S Web of Conferences,"(""automated testing"") AND (""generative AI"")",INCLUDE,IC5: không có kết quả thực nghiệm,EXCLUDE,EC4: phân tích Gherkin quality của người dùng — không phải test generation
89,Day 6: Implementing Requirements in Agile Projects,"Kawelke, Jens; Niebisch, Thomas",2026,AI-Driven Transformation - Practical Frameworks for Real-World Impact,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: không liên quan test generation,,
90,Agile Test Automation,"Baumgartner, Manfred; Klonk, Martin; Mastnak, Christian; Pichler, Helmut; Seidl, Richard; Tanczos, Siegfried",2021,Agile Testing,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC2: không tìm được PDF full-text,,
91,Automated Software Testing with Cypress,"Palani, Narayanan",2021,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC2: không tìm được PDF full-text,,
