id,title,authors,year,venue,search_string,v1_decision,v1_reason
51,LLM-Driven Smart Test Case Generation for Scalable Software Testing,"Kanagaraj, Kanaganandini; Handa, Devansh; Nikhil, Kindi Krishna; Duvarakanath, S.",2025,"2025 2nd International Conference on Software, Systems and Information Technology (SSITCON)","(""test case generation"") AND (""software engineering"")",INCLUDE,
52,Automated Test Generation Techniques for C++ Software,"Hulevych, Mykhailo; Kolomiitsev, Oleksii",2025,"Системи управління, навігації та зв’язку. Збірник наукових праць","(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: automated test generation C++ truyền thống — không dùng LLM
53,Ultimate TestGen: Test-Case Generation with Automata-based Software Model Checking (Competition Contribution),"Barth, Max; Dietsch, Daniel; Heizmann, Matthias; Jakobs, Marie-Christine",2024,Fundamental Approaches to Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: automata-based model checking competition — không liên quan LLM
54,An in-depth study on the utilization of large language models for test case generation,"Johnsson, Nicole",2024,Artificial Intelligence and Computer Engineering (ICAICE),"(""test case generation"") AND (""software engineering"")",UNSURE,Cần xem thêm: title rõ ràng LLM cho test generation nhưng venue ICAICE — cần verify có kết quả thực nghiệm
55,New approaches to automated software testing based on artificial intelligence,"Zhang, Yuli",2024,2024 5th International Conference on Artificial Intelligence and Computer Engineering (ICAICE),"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: survey rộng về test automation — không focus test generation
56,"AI-Driven Software Test Automation: An AI4SE-Oriented Survey of Techniques, Tools, and Challenges","Faraji, Aazaade; Pombo, Nuno",2025,IEEE Access,"(""test case generation"") AND (""software engineering"")",UNSURE,Cần xem thêm: survey/AI4SE rộng — cần verify focus test generation và có số liệu (IC5)
57,Can Generative AI Produce Test Cases? An Experience from the Automotive Domain,"Wynn-Williams, Stephen; Tyrrell, Ryan; Pantelic, Vera; Lawford, Mark; Menghi, Claudio; Nalla, Phaneendra; Artail, Hassan",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: NL specification-based test generation (không phải LLM), ICCE 2020"
58,Test case generation algorithms and tools for specifications in natural language,"Aoyama, Yusuke; Kuroiwa, Takeru; Kushiro, Noriyuki",2020,2020 IEEE International Conference on Consumer Electronics (ICCE),"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: web API test input generation — test execution/input, không phải test case generation bằng LLM"
59,ARTE: Automated generation of realistic test inputs for web APIs,"Alonso, Juan C.; Martin-Lopez, Alberto; Segura, Sergio; Garcia, Jose Maria; Ruiz-Cortes, Antonio",2022,IEEE Transactions on Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC3: International Journal of Leading Research Publication — predatory/không rõ peer-review
60,AI-Powered Natural Language Processing for Automated Test Case Generation: A Transformer-Based Method for Web Application Testing,"Kavuri, Srikanth",2023,International Journal of Leading Research Publication,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC3: International Journal of Leading Research Publication — không rõ peer-review
61,AutoTestGen: Intelligent automated test case generation using GPT-3.5 Turbo,"Riyaz, S.; Ali, M. Imdad; Yeshwanth, S. Venkata; Kumar, S. Satish; Abhinay, S.; Royal, R. Harish; Sulaymon, Abduraxmonov Muhammad",2025,Sustainable Electrical Engineering and Intelligent Systems,"(""test case generation"") AND (""software engineering"")",INCLUDE,
62,Testbench: Evaluating class-level test case generation capability of large language models,"Zhang, Quanjun; Shang, Ye; Fang, Chunrong; Gu, Siqi; Zhou, Jianyi; Chen, Zhenyu",2024,arXiv preprint arXiv:2409.17561,"(""test case generation"") AND (""software engineering"")",INCLUDE,
63,Ai-powered multi-agent framework for automated unit test case generation: Enhancing software quality through llm’s,"Garlapati, Anusha; Parmesh, MNV Satya Sai Muni",2024,2024 5th IEEE Global Conference for Advancement in Technology (GCAT),"(""test case generation"") AND (""software engineering"")",INCLUDE,
64,Application and Optimization of Retrieval-Augmented Generation in Automotive Software Test Case Generation,"Xia, Min; Tong, Guang",2025,2025 10th International Conference on Electronic Technology and Information Science (ICETIS),"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC3: venue là proceedings conference nhỏ ở aerospace — khó verify peer-review
65,Research on the application of artificial intelligence in software automation test case generation in aerospace field,"Li, Wenquan; Shao, Fangsong; Fang, Yu",2025,Proceedings of the 9th International Conference on Electronic Information Technology and Computer Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: TextRank + PSO — không dùng LLM, không liên quan IC4"
66,Optimized automated testing: test case generation and maintenance using latent semantic analysis-based TextRank and particle swarm optimization algorithms.,"Swathi, Baswaraju; Kolisetty, Soma Sekhar",2024,International Journal of Electrical & Computer Engineering (2088-8708),"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: TextRank+PSO — không dùng LLM, không liên quan IC4"
67,A systematic approach for assessing large language models’ test case generation capability,"Chang, Hung-Fu; Shokrolah Shirazi, Mohammad",2025,Software,"(""test case generation"") AND (""software engineering"")",INCLUDE,
68,Unit test case generation with transformers and focal context,"Tufano, Michele; Drain, Dawn; Svyatkovskiy, Alexey; Deng, Shao Kun; Sundaresan, Neel",2020,arXiv preprint arXiv:2009.05617,"(""test case generation"") AND (""software engineering"")",INCLUDE,
69,Organizing Graphical User Interface tests from behavior‐driven development as videos to obtain stakeholders' feedback,"Shi, Jianwei; Mönnich, Jonas; Klünder, Jil; Schneider, Kurt",2024,Journal of Software: Evolution and Process,"(""automated testing"") AND (""generative AI"")",INCLUDE,
70,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Marczak, Sabrina",2024,XXIII Brazilian Symposium on Software Quality - SBQS 2024,"(""automated testing"") AND (""generative AI"")",UNSURE,"Cần xem thêm: LLM BDD test generation, venue SBQS + thesis school — cần verify IC3 và IC5"
71,Automating Behavior-Driven Development with Large Language Models: Exploring Test Case Generation for Fintech projects,"Tesfalidet, Noel",2025,School of Electrical Engineering and Computer Science,"(""automated testing"") AND (""generative AI"")",UNSURE,"Cần xem thêm: LLM automating BDD test generation fintech, venue là thesis school — cần verify IC3 và IC5"
72,Development and Evaluation of a Behaviour-Driven Development Testing Concept,"Tögel, Tobias",2023,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: BDD cho cyber-physical systems — focus on BDD adoption không phải test generation
73,A behaviour-driven development approach for cyber-physical production systems,"Kannengiesser, Udo; Krenn, Florian; Stary, Christian",2020,2020 IEEE conference on industrial cyberphysical systems (ICPS),"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: BDD adoption guidelines — không phải test generation
74,Guidelines for Adopting Behavior-Driven Development (BDD): A Case Study,"dos Santos, Shexmo Richarlison Ribeiro; Silva, Marcus Vinicius Santana; dos Santos, Marcos Cesar Barbosa; dos Santos, Luiz Felipe Cirqueira; Mendonça, Mariano Florencio; Santos, Marcos Venicius; da Silva Santos, Marckson Fábio; de Souza Bastos, Alberto Luciano; Rocha, Fabio Gomes",2025,(21st International Conference on Web Information Systems and Technologies - WEBIST 2025,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC5: SSRN preprint — survey/descriptive, không có kết quả thực nghiệm số liệu"
75,Perception of Professionals Regarding the Adoption of Behavior-Driven Development (Bdd): A Descriptive and Statistical Study Through a Survey,"SANTOS, SHEXMO; Rocha, Fabio; dos Santos Soares, Michel",2025,Available at SSRN 4896966,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: overview BDD tools — không phải test generation, thesis"
76,Overview of Behaviour-Driven Development tools for web applications,"Österholm, Viktor",2021,Åbo Akademi University,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC5: Anais do Computer on the Beach — parallel testing, không có số liệu test generation"
77,Parallel Testing in Behavior Driven Development,"de Amorim, Felipe; Silva, Rodolfo Adamshuk; Costa, Lincoln; Souza, Francisco Carlos",2021,Anais do Computer on the Beach,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC5: thesis, real world BDD practice study, không có thực nghiệm test generation"
78,On the real world practice of behaviour driven development,"Islam, Gibrail",2024,University of Glasgow,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: BDD practice study — không phải test generation, thesis"
79,"An Automated Test System for Functional Testing of a Web Application Using BDD: Implementation Using SpecFlow, Selenium WebDriver, and NUnit in a Real-World Web Application Context","Bismellah, Imal",2025,Karlstad University,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: power of automation testing — quá rộng, không phải test generation bằng LLM"
80,Power of Automation Testing,"Santhosh, Aman Simon; Shah, Karan Rahul",2023,International Journal of Scientific Research in Engineering and Management (IJSREM),"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: general automation testing overview — không focus LLM/Gherkin test generation
81,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"Matveeva, Lada Ivanna; Kunštár, Vladimír; Jelemenská, Katarína; Čičák, Pavel",2025,"2025 5th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)","(""automated testing"") AND (""generative AI"")",UNSURE,"Cần xem thêm: BDD scenario generation NLP/AI, ICECCME — cần verify có thực nghiệm test generation (IC5)"
82,Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,"Bahaweres, Rizal Broer; Oktaviani, Elda; Wardhani, Luh Kesuma; Hermadi, Irman; Suroso, ArifImam; Solihin, Indra Permana; Arkeman, Yandra",2020,"2020 International Conference on Informatics, Multimedia, Cyber and Information System (ICIMCIS)","(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: BDD Cucumber GUI test execution — không phải LLM test generation
83,[en] BDD4ML: A FRAMEWORK FOR APPLYING BEHAVIOUR-DRIVEN DEVELOPMENT TO TEST THE PERFORMANCE OF SUPERVISED MACHINE LEARNING MODELS,"MOTTA, EDUARDO GONCALVES",2025,2025 IEEE International Symposium on Systems Engineering (ISSE),"(""automated testing"") AND (""generative AI"")",INCLUDE,"IC4+IC5: BDD4ML ML model testing framework, IEEE ISSE 2025, có thực nghiệm"
84,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"Hoffmann, David; Ammana, Someshwar Reddy; Dsouza, Ashley Jason; Gudder, Ranjitkumar; Lüder, Arndt",2025,2025 IEEE International Symposium on Systems Engineering (ISSE),"(""automated testing"") AND (""generative AI"")",INCLUDE,"IC4+IC5: Gherkin requirement verification MBSE, IEEE ISSE 2025, có thực nghiệm"
85,Pattern-Based Automation of User Stories and Gherkin Scenarios from BPMN Models for Agile Requirement,"Mateus, Daniel; da Silveira, Denis Silva; Araujo, João",2025,Applied Sciences,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: low-code testing difficulties — không phải test generation bằng LLM/Gherkin
86,Extra Difficulties of Automated Testing in Low-Code Development,"Israt, Fahmida; Prechelt, Lutz",2025,"Softwaretechnik-Trends Band 45, Heft 3","(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC3: tiếng Bồ Đào Nha, vi phạm IC1"
87,Automatização de Testes de Software,"Batista, Inês Chaves",2025,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC1/IC1: tiếng Bồ Đào Nha (""Automatização de Testes"") — vi phạm IC1"
88,Empirical analysis of gherkin quality and common mistakes by novice testers: Implications for sustainable software testing,"Wicaksono, Luthfi Satrio; Min, Joe Lian; Maspupah, Asri; Agasta, Rio; Raharjo, Jelang Anugrah; Hapid, Reqi Jumantara; Genadratama, Muhammad Rafif; Sinaga, Yahya Alfon",2025,E3S Web of Conferences,"(""automated testing"") AND (""generative AI"")",INCLUDE,"IC4+IC5: Gherkin quality empirical analysis, E3S Web of Conferences 2025"
89,Day 6: Implementing Requirements in Agile Projects,"Kawelke, Jens; Niebisch, Thomas",2026,AI-Driven Transformation - Practical Frameworks for Real-World Impact,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC4: agile test automation overview — không phải LLM/Gherkin test generation
90,Agile Test Automation,"Baumgartner, Manfred; Klonk, Martin; Mastnak, Christian; Pichler, Helmut; Seidl, Richard; Tanczos, Siegfried",2021,Agile Testing,"(""automated testing"") AND (""generative AI"")",EXCLUDE,EC2: không rõ venue — Automated Software Testing with Cypress là tool tutorial
91,Automated Software Testing with Cypress,"Palani, Narayanan",2021,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC2: không rõ venue — Cypress testing tutorial, không phải LLM/Gherkin research"
92,A behaviour-driven approach for testing requirements via user and system stories in agent systems,"Rodriguez, Sebastian; Thangarajah, John; Winikoff, Michael",2023,Proceedings of the 2023 International Conference on Autonomous Agents and Multiagent Systems,"(""automated testing"") AND (""generative AI"")",INCLUDE,
93,Towards a domain-specific language for behaviour-driven development,"Silva, Thiago Rocha",2023,2023 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"(""automated testing"") AND (""generative AI"")",INCLUDE,
94,LLM-based Behaviour Driven Development for Hardware Design,"Drechsler, Rolf; Liu, Qian",2025,University of Bremen,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC4: LLM BDD cho hardware design, không phải software test generation"
95,Integrating domain expertise into dynamic digital models: A methodology for behaviour-driven production modelling,"Garg, Ishita; Hoffmann, David; Lüder, Arndt; Rudolph, Marco",2024,2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC3/EC4: không rõ venue, integration tools overview không phải thực nghiệm"
96,"Integration with Tools: Using Frameworks like Cucumber, SpecFlow, or JUnit for BDD and TDD Testing","Esther, Dorcas",2026,N/A,"(""automated testing"") AND (""generative AI"")",EXCLUDE,"EC3/EC4: Cucumber/SpecFlow tool overview, không rõ venue, không phải research"
